run_idx,sampler_seed,pmf_seed,n,K_ref,prior,N_accept,max_trials,accepted,trials,accept_rate,TV,KL,EZ_exact,H_exact,EZ_abc,H_abc,EZ_abs_diff,H_abs_diff,t_exact_ms,t_sampler_s,TV_std,KL_std,EZ_abc_std,H_abc_std,EZ_abs_diff_std,H_abs_diff_std,t_sampler_s_std
0,0,0,10,400,flat,5000,5000000,5000.0,106987.0,0.04673465000420612,0.011333423515409228,0.0006216070712179208,7.939584059640765,1.8710366705517116,7.9078,1.8849812112674011,0.03178405964076525,0.013944540715689513,0.5207920003158506,1.1640702910008258,,,,,,,
1,1,0,10,400,flat,5000,5000000,5000.0,104801.0,0.04770946842110285,0.013899124924093488,0.0007258348863799459,7.939584059640765,1.8710366705517116,7.961,1.86118395628539,0.02141594035923511,0.009852714266321616,0.2986669996971614,1.1518868330003897,,,,,,,
2,2,0,10,400,flat,5000,5000000,5000.0,103820.0,0.048160277403197845,0.014121620409935722,0.0007849549368074784,7.939584059640765,1.8710366705517116,7.939,1.87264064411843,0.0005840596407651333,0.0016039735667183752,0.24258299981738674,1.1302648339997177,,,,,,,
3,3,0,10,400,flat,5000,5000000,5000.0,103239.0,0.04843130987320683,0.0170372667558491,0.001269836485686805,7.939584059640765,1.8710366705517116,7.9694,1.8597688936647838,0.02981594035923507,0.011267776886927816,0.27379200037103146,1.131474666000031,,,,,,,
4,4,0,10,400,flat,5000,5000000,5000.0,104125.0,0.04801920768307323,0.01763414822295307,0.0009529346264070329,7.939584059640765,1.8710366705517116,7.8938,1.8820553826949515,0.045784059640765484,0.011018712143239906,0.25712499973451486,1.1739661669998895,,,,,,,
5,5,0,10,400,flat,5000,5000000,5000.0,102640.0,0.04871395167575994,0.01030319007262588,0.000518962183963652,7.939584059640765,1.8710366705517116,7.9536,1.8629572329260093,0.014015940359234591,0.00807943762570229,0.25137500051641837,1.166241375000027,,,,,,,
6,6,0,10,400,flat,5000,5000000,5000.0,103187.0,0.048455716320854374,0.016354901581257585,0.0011594370303640474,7.939584059640765,1.8710366705517116,7.9008,1.8816678087078846,0.03878405964076492,0.010631138156173003,0.2535839994379785,1.137539375000415,,,,,,,
7,7,0,10,400,flat,5000,5000000,5000.0,102914.0,0.048584254814699655,0.010816428185254329,0.0003855705642457057,7.939584059640765,1.8710366705517116,7.946,1.8647351151848017,0.00641594035923454,0.006301555366909906,0.24908300019887974,1.1382536250002886,,,,,,,
8,8,0,10,400,flat,5000,5000000,5000.0,104609.0,0.04779703467196895,0.007248307896405458,0.0006828241121920523,7.939584059640765,1.8710366705517116,7.9514,1.8659477750219868,0.01181594035923439,0.005088895529724802,0.2455000003465102,1.1604268330002014,,,,,,,
9,9,0,10,400,flat,5000,5000000,5000.0,107172.0,0.04665397678498115,0.01463543829396367,0.0013125673787091454,7.939584059640765,1.8710366705517116,7.9178,1.8734346150356398,0.021784059640765463,0.0023979444839281605,0.23991700072656386,1.1878653330004454,,,,,,,
AGG,,,10,400,flat,5000,5000000,5000.0,104349.4,0.047925984765305095,0.013338384985774752,0.0008414529275973786,7.939584059640765,1.8710366705517116,7.93406,1.8709372634907282,0.022219999999999997,0.00801866887413354,0.5207920003158506,1.1541989332002232,0.0033420967889216165,0.00031987623000092024,0.02688494828792585,0.009381008755076522,0.014426335290199661,0.00407073894292691,0.01952717143284641
