sweep,n,n1,n2,K,r,R0_1,R0_2,drop,TV_piece_vs_avg,KL_piece_vs_avg,MAP_piece,MAP_avg,MAP_changed,q_obs,TV_full_vs_thin,KL_full_vs_thin
R0_drop,50,25,25,600,0.8,2.5,2.45,0.02,4.663072381581193e-06,8.905496285942721e-10,38.0,38.0,False,,,
R0_drop,50,25,25,600,0.8,2.5,2.375,0.05,3.070151082526308e-05,4.912416322324476e-09,38.0,38.0,False,,,
R0_drop,50,25,25,600,0.8,2.5,2.3000000000000003,0.08,8.170314536880563e-05,2.689073075559767e-08,38.0,38.0,False,,,
R0_drop,50,25,25,600,0.8,2.5,2.25,0.1,0.00013094479348763795,7.023886031701834e-08,38.0,38.0,False,,,
R0_drop,50,25,25,600,0.8,2.5,2.2,0.12,0.00019470112300038066,1.5237294265451084e-07,38.0,38.0,False,,,
R0_drop,50,25,25,600,0.8,2.5,2.125,0.15,0.00031981470083494306,4.06911151452313e-07,37.0,37.0,False,,,
R0_drop,50,25,25,600,0.8,2.5,2.0500000000000003,0.18,0.0004831796223271574,9.217538863227758e-07,37.0,37.0,False,,,
R0_drop,50,25,25,600,0.8,2.5,2.0,0.2,0.0006136079176722961,1.4936513671285812e-06,37.0,37.0,False,,,
R0_drop,50,25,25,600,0.8,2.5,1.875,0.25,0.0010374005611891732,4.2648837750904315e-06,36.0,36.0,False,,,
R0_drop,50,25,25,600,0.8,2.5,1.75,0.3,0.0016252947995987106,1.0393250540400518e-05,36.0,36.0,False,,,
R0_drop,50,25,25,600,0.8,2.5,1.625,0.35,0.002403746426616522,2.277249039143328e-05,35.0,35.0,False,,,
R0_drop,50,25,25,600,0.8,2.5,1.5,0.4,0.0034270678171883263,4.6216467997797836e-05,35.0,35.0,False,,,
R0_drop,50,25,25,600,0.8,2.5,1.375,0.45,0.004785639592925533,8.858417043555062e-05,34.0,34.0,False,,,
R0_drop,50,25,25,600,0.8,2.5,1.25,0.5,0.0065185874354947385,0.00016299624118295812,33.0,33.0,False,,,
q_obs,41,25,25,600,0.8,2.5,2.0,0.2,,,,,,0.98,0.02258525730023686,0.0016195281841310724
q_obs,41,25,25,600,0.8,2.5,2.0,0.2,,,,,,0.95,0.05681781320366469,0.01039881160260803
q_obs,41,25,25,600,0.8,2.5,2.0,0.2,,,,,,0.92,0.09217651586234435,0.027365256586782835
q_obs,41,25,25,600,0.8,2.5,2.0,0.2,,,,,,0.9,0.11613538841092455,0.04356697164538787
q_obs,41,25,25,600,0.8,2.5,2.0,0.2,,,,,,0.88,0.1403107440512171,0.0639420402476401
q_obs,41,25,25,600,0.8,2.5,2.0,0.2,,,,,,0.85,0.17678585021606102,0.10286250991149763
q_obs,41,25,25,600,0.8,2.5,2.0,0.2,,,,,,0.82,0.2132253979702029,0.15261265510504524
q_obs,41,25,25,600,0.8,2.5,2.0,0.2,,,,,,0.8,0.23732543752465945,0.19228219213344355
q_obs,41,25,25,600,0.8,2.5,2.0,0.2,,,,,,0.78,0.26141622829850714,0.23752911464662005
q_obs,41,25,25,600,0.8,2.5,2.0,0.2,,,,,,0.75,0.30051047193005503,0.31663207347479916
q_obs,41,25,25,600,0.8,2.5,2.0,0.2,,,,,,0.7,0.364931107348921,0.48174872641803984
q_obs,41,25,25,600,0.8,2.5,2.0,0.2,,,,,,0.65,0.42658630777784823,0.6947992636244782
q_obs,41,25,25,600,0.8,2.5,2.0,0.2,,,,,,0.6,0.48988157856710973,0.9647234165541586
q_obs,41,25,25,600,0.8,2.5,2.0,0.2,,,,,,0.55,0.5542275928850111,1.3034819523800263
