Hidden Size,Seed,Test Log-Likelihood,Num. Params
4,0,-1.1424652338027954,29
4,1,-1.2488713264465332,29
4,2,-1.2524588108062744,29
4,3,-1.330793857574463,29
4,4,-1.3398537635803223,29
8,0,-0.9830878376960754,89
8,1,-1.070902943611145,89
8,2,-1.0913912057876587,89
8,3,-1.0776245594024658,89
8,4,-1.0298380851745605,89
16,0,-0.952572226524353,305
16,1,-0.9521394968032837,305
16,2,-0.9672186374664307,305
16,3,-0.9586653113365173,305
16,4,-0.9555222392082214,305
32,0,-0.9483933448791504,1121
32,1,-0.948932409286499,1121
32,2,-0.9482619762420654,1121
32,3,-0.9480119943618774,1121
32,4,-0.948479175567627,1121
64,0,-0.9474431872367859,4289
64,1,-0.9489490985870361,4289
64,2,-0.9494344592094421,4289
64,3,-0.9477219581604004,4289
64,4,-0.9481182098388672,4289
128,0,-0.9490216374397278,16769
128,1,-0.9467475414276123,16769
128,2,-0.9480699896812439,16769
128,3,-0.9488629102706909,16769
128,4,-0.9475224018096924,16769
