Model,Seed,Test Log-Likelihood,Num. Params,Inference Time (ms),Tail KL Divergence
NSB,0,-0.8422470092773438,4289,0.013619661331176758,0.4132110198440341
NSB-GRU,0,-0.8401012420654297,4591,0.017909333109855652,0.40508579585505666
NSB-LSTM,0,-0.8410548567771912,4486,0.02086535096168518,0.4068318697614976
NSB-Attention,0,-0.8665988445281982,4409,0.002779066562652588,0.5508302351266848
Softmax NN (Fair),0,-0.8630146980285645,4435,0.0007264316082000732,0.4823004000539216
Softmax NN,0,-0.8779436349868774,9943,0.0008288770914077759,0.5923473098153844
Negative Binomial,0,-0.8607337641134756,2,0.00026635825634002686,0.539970787788102
Poisson,0,-2.0546050132325595,1,0.00024959444999694824,2.844457474648958
NSB,1,-0.7347480058670044,4289,0.01858547329902649,0.37732884242021203
NSB-GRU,1,-0.7407704591751099,4591,0.029556453227996826,0.40432840775175083
NSB-LSTM,1,-0.74217689037323,4486,0.03003142774105072,0.40864602692977914
NSB-Attention,1,-0.7570042610168457,4409,0.002562999725341797,0.49952818520970654
Softmax NN (Fair),1,-0.7774864435195923,4435,0.0006556510925292969,0.5575944712450936
Softmax NN,1,-0.7867406010627747,9943,0.0006798654794692993,0.6435194238592341
Negative Binomial,1,-0.793334958045445,2,0.0005867332220077515,0.7126830070732307
Poisson,1,-2.0775212985299722,1,0.0004600733518600464,1.7171377287670238
NSB,2,-0.8199701309204102,4289,0.013569369912147522,0.4141645261612842
NSB-GRU,2,-0.8182334899902344,4591,0.017000362277030945,0.43095790094385544
NSB-LSTM,2,-0.8174710273742676,4486,0.02053193747997284,0.4294541467103762
NSB-Attention,2,-0.806687593460083,4409,0.0023990869522094727,0.3418633084149162
Softmax NN (Fair),2,-0.8199063539505005,4435,0.0006649643182754517,0.40392885080232005
Softmax NN,2,-0.8243582248687744,9943,0.0006388872861862183,0.45913620132704347
Negative Binomial,2,-0.8236905472819427,2,0.0002738088369369507,0.5045076475014225
Poisson,2,-1.9868545487251743,1,0.00023469328880310059,3.228886613730178
NSB,3,-0.7870203256607056,4289,0.01739896833896637,0.5969605478319747
NSB-GRU,3,-0.7921800017356873,4591,0.02317875623703003,0.6206907798240857
NSB-LSTM,3,-0.7904767990112305,4486,0.0276956707239151,0.6074857735103609
NSB-Attention,3,-0.8290963768959045,4409,0.0025704503059387207,0.8604464014159068
Softmax NN (Fair),3,-0.8081016540527344,4435,0.0006407499313354492,0.6576126905522005
Softmax NN,3,-0.8138220310211182,9943,0.000782310962677002,0.7306564262457844
Negative Binomial,3,-0.8174803922295811,2,0.00025704503059387207,0.7954820112825965
Poisson,3,-2.508296795487877,1,0.00021047890186309814,3.8660189894123227
NSB,4,-1.0696203708648682,4289,0.013209879398345947,0.33654876676581125
NSB-GRU,4,-1.0682032108306885,4591,0.01714751124382019,0.35180711767476847
NSB-LSTM,4,-1.0668312311172485,4486,0.020431354641914368,0.3489290041711563
NSB-Attention,4,-1.0602686405181885,4409,0.002507120370864868,0.3313842540797385
Softmax NN (Fair),4,-1.0514723062515259,4435,0.0006649643182754517,0.25155696824719065
Softmax NN,4,-1.049767017364502,9943,0.0006631016731262207,0.2698317592482168
Negative Binomial,4,-1.1037238240888603,2,0.0002719461917877197,0.5166366666876004
Poisson,4,-2.44079710198975,1,0.00021979212760925293,2.8084076953943073
NSB,5,-0.7468161582946777,4289,0.015594065189361572,0.5443113259141611
NSB-GRU,5,-0.7524152398109436,4591,0.021578744053840637,0.5617629890390268
NSB-LSTM,5,-0.7522033452987671,4486,0.025076791644096375,0.5481757045566471
NSB-Attention,5,-0.7883278727531433,4409,0.0024065375328063965,0.8425389110212661
Softmax NN (Fair),5,-0.8079555034637451,4435,0.0006165355443954468,0.8780335265521866
Softmax NN,5,-0.8328232169151306,9943,0.0006649643182754517,1.0843198917594394
Negative Binomial,5,-0.7532245491920175,2,0.0002514570951461792,0.5965344471527476
Poisson,5,-1.9781900873194995,1,0.00021979212760925293,2.944171243941476
NSB,6,-0.7814511060714722,4289,0.01897662878036499,0.5229255362312819
NSB-GRU,6,-0.773677408695221,4591,0.025499612092971802,0.47862777509092497
NSB-LSTM,6,-0.7733687162399292,4486,0.030016526579856873,0.48001356898391645
NSB-Attention,6,-0.8073917627334595,4409,0.0025723129510879517,0.663954686924696
Softmax NN (Fair),6,-0.7766041159629822,4435,0.0006631016731262207,0.4524712111278445
Softmax NN,6,-0.7818306684494019,9943,0.0006724148988723755,0.5134114455318043
Negative Binomial,6,-0.8141693235750136,2,0.00026635825634002686,0.7318614981078013
Poisson,6,-2.2696087739157726,1,0.00021792948246002197,2.081562438457657
NSB,7,-0.5478153824806213,4289,0.00764802098274231,0.3175260408040209
NSB-GRU,7,-0.5461989045143127,4591,0.009173527359962463,0.3150514475137535
NSB-LSTM,7,-0.5436111092567444,4486,0.010790303349494934,0.31195187745107356
NSB-Attention,7,-0.5371556878089905,4409,0.002423301339149475,0.25326835721285607
Softmax NN (Fair),7,-0.5449130535125732,4435,0.0006649643182754517,0.2750188774786364
Softmax NN,7,-0.541779637336731,9943,0.0006556510925292969,0.2757357943528198
Negative Binomial,7,-0.5598654847140994,2,0.00025890767574310303,0.4907380478383249
Poisson,7,-1.327282844682422,1,0.0002123415470123291,1.315337573059134
NSB,8,-0.9345170259475708,4289,0.04154816269874573,0.6055506842668681
NSB-GRU,8,-0.9340099096298218,4591,0.057367607951164246,0.6146845663603069
NSB-LSTM,8,-0.931986927986145,4486,0.06750039756298065,0.6053390029732828
NSB-Attention,8,-1.0323662757873535,4409,0.0025480985641479492,1.0471873539489849
Softmax NN (Fair),8,-0.9170117378234863,4435,0.000648200511932373,0.4971757334858627
Softmax NN,8,-0.9212155342102051,9943,0.0006556510925292969,0.5399588324957069
Negative Binomial,8,-0.9708978951912652,2,0.00026263296604156494,0.7941508712510297
Poisson,8,-4.357378746395121,1,0.0002123415470123291,2.376146753244903
NSB,9,-0.8766254186630249,4289,0.02164021134376526,0.4640074069045014
NSB-GRU,9,-0.8805313110351562,4591,0.0292118638753891,0.4808916323415838
NSB-LSTM,9,-0.8781015872955322,4486,0.03581494092941284,0.46972589047516966
NSB-Attention,9,-0.8877623677253723,4409,0.002553686499595642,0.5236313020433186
Softmax NN (Fair),9,-0.876154899597168,4435,0.000648200511932373,0.41303991064878254
Softmax NN,9,-0.8759915828704834,9943,0.0006817281246185303,0.4447701329746635
Negative Binomial,9,-0.9052073441294294,2,0.0002644956111907959,0.6180645756366829
Poisson,9,-2.543509371869976,1,0.00022910535335540771,2.504799271434302
NSB,10,-0.8387253284454346,4289,0.021344050765037537,0.535502346246433
NSB-GRU,10,-0.8372812271118164,4591,0.02950802445411682,0.5337233743716968
NSB-LSTM,10,-0.8367453813552856,4486,0.03402493894100189,0.5320212677399052
NSB-Attention,10,-0.8696639537811279,4409,0.0025853514671325684,0.7196563577368182
Softmax NN (Fair),10,-0.8501327037811279,4435,0.0006314367055892944,0.5566680604756273
Softmax NN,10,-0.8445561528205872,9943,0.000648200511932373,0.5606603239919982
Negative Binomial,10,-0.8696778855164926,2,0.00025890767574310303,0.7302451356931682
Poisson,10,-2.8454944837204224,1,0.00021979212760925293,3.231413022726203
NSB,11,-0.8731868267059326,4289,0.04223361611366272,0.6475718616739059
NSB-GRU,11,-0.8749597072601318,4591,0.05624257028102875,0.659286044370701
NSB-LSTM,11,-0.8732033967971802,4486,0.06759539246559143,0.6510274817093545
NSB-Attention,11,-0.9373247027397156,4409,0.002639368176460266,0.9843681595181427
Softmax NN (Fair),11,-0.8428232669830322,4435,0.0006631016731262207,0.45696618416755996
Softmax NN,11,-0.8417885303497314,9943,0.0006966292858123779,0.468677803958257
Negative Binomial,11,-0.9095555972617811,2,0.00026635825634002686,0.847090099332479
Poisson,11,-3.836763150269289,1,0.0002123415470123291,3.0358601719490634
NSB,12,-0.834142804145813,4289,0.021334737539291382,0.5565435327675277
NSB-GRU,12,-0.8264179825782776,4591,0.028314068913459778,0.5099750842239876
NSB-LSTM,12,-0.8266388773918152,4486,0.033639371395111084,0.5122452123934134
NSB-Attention,12,-0.8909603357315063,4409,0.002516433596611023,0.872431670746844
Softmax NN (Fair),12,-0.8584920167922974,4435,0.0006556510925292969,0.6453834289963298
Softmax NN,12,-0.8637648820877075,9943,0.000648200511932373,0.7068357981686613
Negative Binomial,12,-0.8577567298822015,2,0.00025890767574310303,0.7010888327801648
Poisson,12,-2.7345816071343485,1,0.0002086162567138672,2.806193918184669
NSB,13,-1.0109622478485107,4289,0.018376857042312622,0.4678632772736733
NSB-GRU,13,-1.0127686262130737,4591,0.025721266865730286,0.47887571303245025
NSB-LSTM,13,-1.0123603343963623,4486,0.02911873161792755,0.4775195506312297
NSB-Attention,13,-1.039600133895874,4409,0.002600252628326416,0.6039704102779168
Softmax NN (Fair),13,-1.0414948463439941,4435,0.0006649643182754517,0.5675086252347268
Softmax NN,13,-1.0545670986175537,9943,0.0006314367055892944,0.6620306204501851
Negative Binomial,13,-1.0164789140795891,2,0.00026635825634002686,0.5106706212722373
Poisson,13,-2.9436219793306733,1,0.0002123415470123291,3.748874868711217
NSB,14,-0.8124862909317017,4289,0.017039477825164795,0.5977003515733152
NSB-GRU,14,-0.8182128071784973,4591,0.022649765014648438,0.6272156271435066
NSB-LSTM,14,-0.815629780292511,4486,0.02753734588623047,0.6122316061999147
NSB-Attention,14,-0.8845576047897339,4409,0.002594664692878723,1.0604943206403323
Softmax NN (Fair),14,-0.8748705387115479,4435,0.0006891787052154541,0.9411008375123817
Softmax NN,14,-0.8833297491073608,9943,0.0006891787052154541,1.0245322596458475
Negative Binomial,14,-0.8067854589827298,2,0.0002644956111907959,0.5875989177084968
Poisson,14,-2.277383867218938,1,0.00021792948246002197,3.249293719403207
NSB,15,-0.9205251932144165,4289,0.041443854570388794,0.6821928302020418
NSB-GRU,15,-0.9446825981140137,4591,0.0562276691198349,0.811110608361337
NSB-LSTM,15,-0.9216071367263794,4486,0.06706267595291138,0.6864802469727753
NSB-Attention,15,-1.0750970840454102,4409,0.0026188790798187256,1.361551968094867
Softmax NN (Fair),15,-0.9302768111228943,4435,0.0006780028343200684,0.7003687654246128
Softmax NN,15,-0.9425084590911865,9943,0.0007115304470062256,0.7859830996887132
Negative Binomial,15,-0.947889129334049,2,0.00026635825634002686,0.828597753113855
Poisson,15,-4.172827766051675,1,0.00021047890186309814,3.297549259585041
NSB,16,-0.9001198410987854,4289,0.013180077075958252,0.6099260621157603
NSB-GRU,16,-0.9035899639129639,4591,0.021062791347503662,0.6217284758750914
NSB-LSTM,16,-0.9030217528343201,4486,0.022547319531440735,0.6179531537314024
NSB-Attention,16,-0.9819995760917664,4409,0.0027101486921310425,1.0485488862714127
Softmax NN (Fair),16,-0.9688714742660522,4435,0.0007133930921554565,0.921501041511045
Softmax NN,16,-0.9868111610412598,9943,0.0007636845111846924,1.0496389872405645
Negative Binomial,16,-0.9089342404258836,2,0.00025890767574310303,0.6780689956017916
Poisson,16,-2.477465501235684,1,0.0002123415470123291,4.003990603533267
NSB,17,-1.0004301071166992,4289,0.017836689949035645,0.501835884854295
NSB-GRU,17,-1.0087997913360596,4591,0.023422762751579285,0.536310854983384
NSB-LSTM,17,-1.0032031536102295,4486,0.02666376531124115,0.5108087518939299
NSB-Attention,17,-1.0309178829193115,4409,0.002562999725341797,0.638900057299656
Softmax NN (Fair),17,-1.0190657377243042,4435,0.0007022172212600708,0.5363318957085612
Softmax NN,17,-1.030453085899353,9943,0.0006780028343200684,0.6187677095365727
Negative Binomial,17,-1.024525639516973,2,0.00038370490074157715,0.6318382837550967
Poisson,17,-3.253028005404503,1,0.0008270144462585449,3.9393639048347797
NSB,18,-0.9507260322570801,4289,0.019216910004615784,0.45702605310140765
NSB-GRU,18,-0.9518377780914307,4591,0.02496875822544098,0.4565600160069254
NSB-LSTM,18,-0.950979471206665,4486,0.03332085907459259,0.45168930886318437
NSB-Attention,18,-0.9519448280334473,4409,0.0026728957891464233,0.4632104345849798
Softmax NN (Fair),18,-0.9621351361274719,4435,0.0006966292858123779,0.46234263606233905
Softmax NN,18,-0.9755338430404663,9943,0.000648200511932373,0.5583080907083159
Negative Binomial,18,-0.9549730121914121,2,0.00025890767574310303,0.4855331570816571
Poisson,18,-2.5232854124964224,1,0.00021047890186309814,2.899937161896457
NSB,19,-0.9284658432006836,4289,0.015562400221824646,1.1018791960996102
NSB-GRU,19,-0.9230227470397949,4591,0.021282583475112915,1.0578271350514066
NSB-LSTM,19,-0.9192782640457153,4486,0.024318695068359375,1.0349597867412215
NSB-Attention,19,-1.0637797117233276,4409,0.002648681402206421,1.8824311027291256
Softmax NN (Fair),19,-0.9905961751937866,4435,0.0007748603820800781,1.3910149760199104
Softmax NN,19,-0.9977818131446838,9943,0.000694766640663147,1.466026159239027
Negative Binomial,19,-0.9261980769886495,2,0.00024959444999694824,1.106961730337955
Poisson,19,-3.3648443257465033,1,0.0002123415470123291,6.632395460918572
