run_idx,sampler_seed,pmf_seed,n,K_ref,prior,N_accept,max_trials,accepted,trials,accept_rate,TV,KL,EZ_exact,H_exact,EZ_abc,H_abc,EZ_abs_diff,H_abs_diff,t_exact_ms,t_sampler_s,TV_std,KL_std,EZ_abc_std,H_abc_std,EZ_abs_diff_std,H_abs_diff_std,t_sampler_s_std
0,0,0,20,400,flat,50000,80000000,50000.0,2823492.0,0.01770856797185896,0.006434628218933943,0.00014544188952185158,14.248283456545323,2.6603768721482166,14.240520000000002,2.66276460697299,0.00776345654532129,0.002387734824773169,0.6247500004974427,36.24363787499988,,,,,,,
1,1,0,20,400,flat,50000,80000000,50000.0,2851552.0,0.017534311140038828,0.00668959328018128,0.00022274609803916122,14.248283456545323,2.6603768721482166,14.263700000000004,2.6584049067793445,0.015416543454680465,0.0019719653688721195,0.3691670008265646,36.858894916999816,,,,,,,
2,2,0,20,400,flat,50000,80000000,50000.0,2854810.0,0.017514300426298073,0.00705000759400427,0.00018424978053372646,14.248283456545323,2.6603768721482166,14.267679999999999,2.65880448190642,0.019396543454675452,0.0015723902417965618,0.39449999985663453,36.52829741700043,,,,,,,
3,3,0,20,400,flat,50000,80000000,50000.0,2846870.0,0.017563148299711614,0.008399876031950117,0.00022864032860420164,14.248283456545323,2.6603768721482166,14.270159999999999,2.658911553345928,0.021876543454675712,0.0014653188022886177,0.3432909998082323,37.025741458000084,,,,,,,
4,4,0,20,400,flat,50000,80000000,50000.0,2843563.0,0.017583573847317607,0.00807818150065839,0.00020271364473927259,14.248283456545323,2.6603768721482166,14.299139999999998,2.6545434426949828,0.05085654345467461,0.0058334294532338404,0.3713750002134475,36.527317582999785,,,,,,,
5,5,0,20,400,flat,50000,80000000,50000.0,2833050.0,0.017648823705900003,0.005171578306034201,0.00013069682362839107,14.248283456545323,2.6603768721482166,14.246779999999998,2.66090886077682,0.0015034565453255766,0.0005319886286034858,0.3680420004457119,37.7498559579999,,,,,,,
6,6,0,20,400,flat,50000,80000000,50000.0,2849582.0,0.017546433125981285,0.007160913858488203,0.00016311753629547852,14.248283456545323,2.6603768721482166,14.23314,2.661128315345244,0.015143456545322564,0.0007514431970272462,0.4362499994385871,37.471856166999714,,,,,,,
7,7,0,20,400,flat,50000,80000000,50000.0,2855951.0,0.017507303171518,0.008696211272105573,0.00024402853953054576,14.248283456545323,2.6603768721482166,14.27814,2.65763709472498,0.029856543454677364,0.0027397774232365,0.34520799999882,37.35571533299935,,,,,,,
8,8,0,20,400,flat,50000,80000000,50000.0,2853351.0,0.017523255989186047,0.007294858088865875,0.0001813707338333202,14.248283456545323,2.6603768721482166,14.240379999999998,2.664077129912217,0.007903456545324872,0.003700257764000181,0.33341699963784777,37.072404749999805,,,,,,,
9,9,0,20,400,flat,50000,80000000,50000.0,2860626.0,0.017478691726915716,0.00728135210968555,0.00016562207405562975,14.248283456545323,2.6603768721482166,14.2654,2.659414137962667,0.017116543454676503,0.0009627341855495963,0.35679200027516345,36.751918666000165,,,,,,,
AGG,,,20,400,flat,50000,80000000,50000.0,2847284.7,0.017560840940472614,0.00722572002609074,0.0001868627448781579,14.248283456545323,2.6603768721482166,14.260503999999997,2.6596594530421593,0.01868330869093544,0.0021917039889381316,0.6247500004974427,36.95856401239989,0.001024336285711622,3.7229691562575935e-05,0.02034196494387308,0.0027093319484713125,0.01385206132622065,0.0016046998490252117,0.47136585331294284
