n,n1,n2,n1_frac,K,r,R0_1,R0_2,drop,TV_piece_vs_avg,KL_piece_vs_avg,MAP_piece,MAP_avg,MAP_changed
50,2,48,0.04,2000,0.05,3.0,2.7,0.1,7.179762422093727e-08,6.175617337012541e-08,50,50,False
50,2,48,0.04,2000,0.05,3.0,2.4000000000000004,0.2,2.989168066680481e-07,8.049193384978676e-07,50,50,False
50,2,48,0.04,2000,0.05,3.0,2.0999999999999996,0.3,4.1044879378268617e-07,1.2317098483002665e-06,50,50,False
50,2,48,0.04,2000,0.05,3.0,1.7999999999999998,0.4,6.965522368063137e-07,1.4546557005040276e-06,50,50,False
50,2,48,0.04,2000,0.05,3.0,1.5,0.5,1.2235174830094175e-06,3.428616037960211e-07,50,50,False
50,2,48,0.04,2000,0.05,3.0,1.2000000000000002,0.6,2.5403656791350704e-06,8.868016056369346e-07,50,50,False
50,2,48,0.04,2000,0.05,3.0,0.9000000000000001,0.7,5.229754557752042e-06,1.298430731329887e-07,50,50,False
50,2,48,0.04,2000,0.05,3.0,0.5999999999999999,0.8,1.358129595751753e-05,3.341294816040637e-07,50,50,False
50,2,48,0.04,2000,0.1,3.0,2.7,0.1,2.665777192323304e-07,7.129912085410298e-08,50,50,False
50,2,48,0.04,2000,0.1,3.0,2.4000000000000004,0.2,8.357053198661257e-07,8.076053687055985e-09,50,50,False
50,2,48,0.04,2000,0.1,3.0,2.0999999999999996,0.3,2.4344032848212793e-06,5.3412742279692655e-08,50,50,False
50,2,48,0.04,2000,0.1,3.0,1.7999999999999998,0.4,5.529614911953598e-06,9.160809887226653e-08,50,50,False
50,2,48,0.04,2000,0.1,3.0,1.5,0.5,1.1240768290489422e-05,1.3843417042105496e-06,50,50,False
50,2,48,0.04,2000,0.1,3.0,1.2000000000000002,0.6,2.1825900888406574e-05,1.9962677143420305e-07,50,50,False
50,2,48,0.04,2000,0.1,3.0,0.9000000000000001,0.7,4.203191870663929e-05,2.694998937637197e-08,50,50,False
50,2,48,0.04,2000,0.1,3.0,0.5999999999999999,0.8,9.561670759888462e-05,3.8897927521130624e-08,50,50,False
50,2,48,0.04,2000,0.2,3.0,2.7,0.1,1.3613158921232937e-06,6.771619058709439e-08,50,50,False
50,2,48,0.04,2000,0.2,3.0,2.4000000000000004,0.2,6.126837755462619e-06,2.486689252018849e-08,50,50,False
50,2,48,0.04,2000,0.2,3.0,2.0999999999999996,0.3,1.5773559426105442e-05,1.1223087131121963e-08,50,50,False
50,2,48,0.04,2000,0.2,3.0,1.7999999999999998,0.4,3.241107288438428e-05,3.135357178480616e-08,50,50,False
50,2,48,0.04,2000,0.2,3.0,1.5,0.5,6.0335206201896606e-05,1.1104642221313924e-07,49,49,False
50,2,48,0.04,2000,0.2,3.0,1.2000000000000002,0.6,0.00010397434672888275,9.057504556150961e-08,49,49,False
50,2,48,0.04,2000,0.2,3.0,0.9000000000000001,0.7,0.00016571358496091917,1.3451633159307743e-07,49,49,False
50,2,48,0.04,2000,0.2,3.0,0.5999999999999999,0.8,0.00032166979951296724,6.950074891086367e-07,48,48,False
50,2,48,0.04,2000,0.5,3.0,2.7,0.1,7.186313628046556e-06,1.9833146697874644e-09,46,46,False
50,2,48,0.04,2000,0.5,3.0,2.4000000000000004,0.2,3.2050531337848766e-05,4.5036108269001255e-09,46,46,False
50,2,48,0.04,2000,0.5,3.0,2.0999999999999996,0.3,8.075897210770011e-05,1.448517134650852e-07,45,45,False
50,2,48,0.04,2000,0.5,3.0,1.7999999999999998,0.4,0.00016505084168118127,1.094617543065365e-07,44,44,False
50,2,48,0.04,2000,0.5,3.0,1.5,0.5,0.0002976270789628186,3.4776467419114553e-07,43,43,False
50,2,48,0.04,2000,0.5,3.0,1.2000000000000002,0.6,0.0005029248488062979,1.009040567090942e-06,41,41,False
50,2,48,0.04,2000,0.5,3.0,0.9000000000000001,0.7,0.000847147649649771,2.823332626292028e-06,38,38,False
50,2,48,0.04,2000,0.5,3.0,0.5999999999999999,0.8,0.0014197552238215394,8.12676697318752e-06,32,32,False
50,5,45,0.1,2000,0.05,3.0,2.7,0.1,2.9395306678538236e-07,3.3613025460354094e-07,50,50,False
