Train Size,Seed,Test Log-Likelihood,Tail KL Divergence
100,0,-3.8662946224212646,0.04463048119294706
100,1,-3.873075008392334,0.015886510932457614
100,2,-3.860168695449829,0.0320794270210721
100,3,-3.8840155601501465,0.0585144619393969
100,4,-3.870379686355591,0.0667303095181046
500,0,-3.8276820182800293,0.01118125304954775
500,1,-3.8265905380249023,0.005752551962020245
500,2,-3.8284873962402344,0.009979381585531728
500,3,-3.827903985977173,0.006989064095047489
500,4,-3.828871488571167,0.004798893934344775
1000,0,-3.8206348419189453,0.0060587601628539975
1000,1,-3.825953483581543,0.016230923361214428
1000,2,-3.845925807952881,0.02207875572174445
1000,3,-3.823157787322998,0.008608110850657916
1000,4,-3.8316524028778076,0.006774375339658434
5000,0,-3.8287136554718018,0.01862059104775793
5000,1,-3.8251287937164307,0.010324512889444228
5000,2,-3.8392250537872314,0.028670009305091018
5000,3,-3.826601266860962,0.012739441082413037
5000,4,-3.8226118087768555,0.010676195296404073
10000,0,-3.816685199737549,0.002294945683638416
10000,1,-3.820427417755127,0.006260443912784595
10000,2,-3.8233559131622314,0.007372607118321616
10000,3,-3.820575714111328,0.004203262806144183
10000,4,-3.8247132301330566,0.004967327189179418
50000,0,-3.820241689682007,0.00521208537754628
50000,1,-3.822847604751587,0.009086206670258508
50000,2,-3.8217098712921143,0.004038122414316115
50000,3,-3.8306195735931396,0.006829340378565633
50000,4,-3.8261420726776123,0.0148967777035734
