Distribution,Model,Seed,Test Log-Likelihood,Num. Params
Poisson,NSB (Ours),0,-1.9376417398452759,4289
Poisson,Softmax NN,0,-1.936570167541504,9943
Poisson,Softmax NN (Fair),0,-1.9371726512908936,4282
Poisson,Negative Binomial,0,-1.9364601662540386,2
Poisson,Poisson,0,-1.936468386012343,1
Poisson,NSB (Ours),1,-1.9367963075637817,4289
Poisson,Softmax NN,1,-1.938718318939209,9943
Poisson,Softmax NN (Fair),1,-1.936625361442566,4282
Poisson,Negative Binomial,1,-1.9364601662540386,2
Poisson,Poisson,1,-1.936468386012343,1
Poisson,NSB (Ours),2,-1.9368585348129272,4289
Poisson,Softmax NN,2,-1.9385695457458496,9943
Poisson,Softmax NN (Fair),2,-1.9386870861053467,4282
Poisson,Negative Binomial,2,-1.9364601662540386,2
Poisson,Poisson,2,-1.936468386012343,1
Poisson,NSB (Ours),3,-1.9364726543426514,4289
Poisson,Softmax NN,3,-1.9369828701019287,9943
Poisson,Softmax NN (Fair),3,-1.9369324445724487,4282
Poisson,Negative Binomial,3,-1.9364601662540386,2
Poisson,Poisson,3,-1.936468386012343,1
Poisson,NSB (Ours),4,-1.9374366998672485,4289
Poisson,Softmax NN,4,-1.9369142055511475,9943
Poisson,Softmax NN (Fair),4,-1.9375746250152588,4282
Poisson,Negative Binomial,4,-1.9364601662540386,2
Poisson,Poisson,4,-1.936468386012343,1
Binomial,NSB (Ours),0,-1.9966468811035156,4289
Binomial,Softmax NN,0,-1.996233582496643,9943
Binomial,Softmax NN (Fair),0,-1.9958728551864624,4282
Binomial,Negative Binomial,0,-inf,2
Binomial,Poisson,0,-2.0056429609438635,1
Binomial,NSB (Ours),1,-1.9958529472351074,4289
Binomial,Softmax NN,1,-1.996952772140503,9943
Binomial,Softmax NN (Fair),1,-1.9962437152862549,4282
Binomial,Negative Binomial,1,-inf,2
Binomial,Poisson,1,-2.0056429609438635,1
Binomial,NSB (Ours),2,-1.9958134889602661,4289
Binomial,Softmax NN,2,-1.9972034692764282,9943
Binomial,Softmax NN (Fair),2,-1.996638298034668,4282
Binomial,Negative Binomial,2,-inf,2
Binomial,Poisson,2,-2.0056429609438635,1
Binomial,NSB (Ours),3,-1.9969589710235596,4289
Binomial,Softmax NN,3,-1.9974573850631714,9943
Binomial,Softmax NN (Fair),3,-1.9957351684570312,4282
Binomial,Negative Binomial,3,-inf,2
Binomial,Poisson,3,-2.0056429609438635,1
Binomial,NSB (Ours),4,-1.99552583694458,4289
Binomial,Softmax NN,4,-1.9960215091705322,9943
Binomial,Softmax NN (Fair),4,-1.9968968629837036,4282
Binomial,Negative Binomial,4,-inf,2
Binomial,Poisson,4,-2.0056429609438635,1
Negative Binomial,NSB (Ours),0,-3.8184125423431396,4289
Negative Binomial,Softmax NN,0,-3.8183727264404297,9943
Negative Binomial,Softmax NN (Fair),0,-3.817420244216919,4282
Negative Binomial,Negative Binomial,0,-3.815407126948277,2
Negative Binomial,Poisson,0,-6.7690993476911085,1
Negative Binomial,NSB (Ours),1,-3.8161723613739014,4289
Negative Binomial,Softmax NN,1,-3.8187406063079834,9943
Negative Binomial,Softmax NN (Fair),1,-3.8178458213806152,4282
Negative Binomial,Negative Binomial,1,-3.815407126948277,2
Negative Binomial,Poisson,1,-6.7690993476911085,1
Negative Binomial,NSB (Ours),2,-3.8201515674591064,4289
Negative Binomial,Softmax NN,2,-3.818510055541992,9943
Negative Binomial,Softmax NN (Fair),2,-3.817129611968994,4282
Negative Binomial,Negative Binomial,2,-3.815407126948277,2
Negative Binomial,Poisson,2,-6.7690993476911085,1
Negative Binomial,NSB (Ours),3,-3.8161792755126953,4289
Negative Binomial,Softmax NN,3,-3.81820011138916,9943
Negative Binomial,Softmax NN (Fair),3,-3.81843900680542,4282
Negative Binomial,Negative Binomial,3,-3.815407126948277,2
Negative Binomial,Poisson,3,-6.7690993476911085,1
Negative Binomial,NSB (Ours),4,-3.8156938552856445,4289
Negative Binomial,Softmax NN,4,-3.8183188438415527,9943
Negative Binomial,Softmax NN (Fair),4,-3.8175907135009766,4282
Negative Binomial,Negative Binomial,4,-3.815407126948277,2
Negative Binomial,Poisson,4,-6.7690993476911085,1
Mixture,NSB (Ours),0,-3.3000965118408203,4289
Mixture,Softmax NN,0,-3.299543857574463,9943
Mixture,Softmax NN (Fair),0,-3.2984554767608643,4282
Mixture,Negative Binomial,0,-3.9678229811755448,2
Mixture,Poisson,0,-10.54829799489608,1
Mixture,NSB (Ours),1,-3.3003664016723633,4289
Mixture,Softmax NN,1,-3.2992281913757324,9943
Mixture,Softmax NN (Fair),1,-3.298893690109253,4282
Mixture,Negative Binomial,1,-3.9678229811755448,2
Mixture,Poisson,1,-10.54829799489608,1
Mixture,NSB (Ours),2,-3.301522731781006,4289
Mixture,Softmax NN,2,-3.3004393577575684,9943
Mixture,Softmax NN (Fair),2,-3.298705577850342,4282
Mixture,Negative Binomial,2,-3.9678229811755448,2
Mixture,Poisson,2,-10.54829799489608,1
Mixture,NSB (Ours),3,-3.301969051361084,4289
Mixture,Softmax NN,3,-3.299164056777954,9943
Mixture,Softmax NN (Fair),3,-3.2987563610076904,4282
Mixture,Negative Binomial,3,-3.9678229811755448,2
Mixture,Poisson,3,-10.54829799489608,1
Mixture,NSB (Ours),4,-3.301549196243286,4289
Mixture,Softmax NN,4,-3.300185441970825,9943
Mixture,Softmax NN (Fair),4,-3.299461603164673,4282
Mixture,Negative Binomial,4,-3.9678229811755448,2
Mixture,Poisson,4,-10.54829799489608,1
Zero-Inflated,NSB (Ours),0,-1.6697542667388916,4289
Zero-Inflated,Softmax NN,0,-1.6709082126617432,9943
Zero-Inflated,Softmax NN (Fair),0,-1.6703428030014038,4282
Zero-Inflated,Negative Binomial,0,-2.036326918411566,2
Zero-Inflated,Poisson,0,-3.928492810417137,1
Zero-Inflated,NSB (Ours),1,-1.669689655303955,4289
Zero-Inflated,Softmax NN,1,-1.6702316999435425,9943
Zero-Inflated,Softmax NN (Fair),1,-1.6695250272750854,4282
Zero-Inflated,Negative Binomial,1,-2.036326918411566,2
Zero-Inflated,Poisson,1,-3.928492810417137,1
Zero-Inflated,NSB (Ours),2,-1.6697763204574585,4289
Zero-Inflated,Softmax NN,2,-1.6709392070770264,9943
Zero-Inflated,Softmax NN (Fair),2,-1.6705693006515503,4282
Zero-Inflated,Negative Binomial,2,-2.036326918411566,2
Zero-Inflated,Poisson,2,-3.928492810417137,1
Zero-Inflated,NSB (Ours),3,-1.6703609228134155,4289
Zero-Inflated,Softmax NN,3,-1.669981837272644,9943
Zero-Inflated,Softmax NN (Fair),3,-1.669062852859497,4282
Zero-Inflated,Negative Binomial,3,-2.036326918411566,2
Zero-Inflated,Poisson,3,-3.928492810417137,1
Zero-Inflated,NSB (Ours),4,-1.670401930809021,4289
Zero-Inflated,Softmax NN,4,-1.6704425811767578,9943
Zero-Inflated,Softmax NN (Fair),4,-1.6697125434875488,4282
Zero-Inflated,Negative Binomial,4,-2.036326918411566,2
Zero-Inflated,Poisson,4,-3.928492810417137,1
Zero-Inflated NB,NSB (Ours),0,-2.59682297706604,4289
Zero-Inflated NB,Softmax NN,0,-2.593733310699463,9943
Zero-Inflated NB,Softmax NN (Fair),0,-2.592255115509033,4282
Zero-Inflated NB,Negative Binomial,0,-2.769293842580159,2
Zero-Inflated NB,Poisson,0,-9.483263421814701,1
Zero-Inflated NB,NSB (Ours),1,-2.5950889587402344,4289
Zero-Inflated NB,Softmax NN,1,-2.592942953109741,9943
Zero-Inflated NB,Softmax NN (Fair),1,-2.5925707817077637,4282
Zero-Inflated NB,Negative Binomial,1,-2.769293842580159,2
Zero-Inflated NB,Poisson,1,-9.483263421814701,1
Zero-Inflated NB,NSB (Ours),2,-2.5924720764160156,4289
Zero-Inflated NB,Softmax NN,2,-2.5937116146087646,9943
Zero-Inflated NB,Softmax NN (Fair),2,-2.592735767364502,4282
Zero-Inflated NB,Negative Binomial,2,-2.769293842580159,2
Zero-Inflated NB,Poisson,2,-9.483263421814701,1
Zero-Inflated NB,NSB (Ours),3,-2.5914146900177,4289
Zero-Inflated NB,Softmax NN,3,-2.5934603214263916,9943
Zero-Inflated NB,Softmax NN (Fair),3,-2.592782735824585,4282
Zero-Inflated NB,Negative Binomial,3,-2.769293842580159,2
Zero-Inflated NB,Poisson,3,-9.483263421814701,1
Zero-Inflated NB,NSB (Ours),4,-2.591836929321289,4289
Zero-Inflated NB,Softmax NN,4,-2.5924787521362305,9943
Zero-Inflated NB,Softmax NN (Fair),4,-2.592400074005127,4282
Zero-Inflated NB,Negative Binomial,4,-2.769293842580159,2
Zero-Inflated NB,Poisson,4,-9.483263421814701,1
