Distribution,Model,Seed,Epoch,Test Log-Likelihood,Tail KL Divergence
Poisson,Poisson,0,0,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,1,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,2,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,3,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,4,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,5,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,6,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,7,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,8,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,9,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,10,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,11,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,12,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,13,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,14,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,15,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,16,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,17,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,18,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,19,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,20,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,21,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,22,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,23,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,24,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,25,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,26,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,27,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,28,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,29,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,30,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,31,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,32,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,33,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,34,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,35,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,36,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,37,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,38,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,39,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,40,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,41,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,42,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,43,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,44,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,45,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,46,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,47,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,48,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,49,-1.9450294362860059,1.6310513322812111e-06
Poisson,Poisson,0,50,-1.9450294362860059,1.6310513322812111e-06
Poisson,Negative Binomial,0,0,-1.944874230831742,5.765686122145212e-05
